"","LHD","EFm","County","long","lat","group","order","region"
"38","Bear River",14.413497967074,"cache",-111.910118103027,41.4592247009277,3,68,"utah"
"39","Bear River",14.413497967074,"cache",-111.898651123047,41.4936027526855,3,69,"utah"
"40","Bear River",14.413497967074,"cache",-111.910118103027,41.5279808044434,3,70,"utah"
"41","Bear River",14.413497967074,"cache",-111.944488525391,41.5508995056152,3,71,"utah"
"42","Bear River",14.413497967074,"cache",-111.97314453125,41.5451698303223,3,72,"utah"
"43","Bear River",14.413497967074,"cache",-112.001792907715,41.5623550415039,3,73,"utah"
"44","Bear River",14.413497967074,"cache",-112.018981933594,41.6196556091309,3,74,"utah"
"45","Bear River",14.413497967074,"cache",-112.070541381836,41.722785949707,3,75,"utah"
"46","Bear River",14.413497967074,"cache",-112.018981933594,41.7800827026367,3,76,"utah"
"47","Bear River",14.413497967074,"cache",-112.018981933594,41.8030014038086,3,77,"utah"
"48","Bear River",14.413497967074,"cache",-112.087738037109,41.911865234375,3,78,"utah"
"49","Bear River",14.413497967074,"cache",-112.133575439453,41.9233207702637,3,79,"utah"
"50","Bear River",14.413497967074,"cache",-112.150756835938,41.9691581726074,3,80,"utah"
"51","Bear River",14.413497967074,"cache",-112.173675537109,41.9978065490723,3,81,"utah"
"52","Bear River",14.413497967074,"cache",-112.110649108887,42.0035362243652,3,82,"utah"
"53","Bear River",14.413497967074,"cache",-111.5205078125,42.0035362243652,3,83,"utah"
"54","Bear River",14.413497967074,"cache",-111.491851806641,41.9978065490723,3,84,"utah"
"55","Bear River",14.413497967074,"cache",-111.480400085449,41.9519729614258,3,85,"utah"
"56","Bear River",14.413497967074,"cache",-111.486122131348,41.9233207702637,3,86,"utah"
"57","Bear River",14.413497967074,"cache",-111.503318786621,41.911865234375,3,87,"utah"
"58","Bear River",14.413497967074,"cache",-111.5205078125,41.906135559082,3,88,"utah"
"59","Bear River",14.413497967074,"cache",-111.5205078125,41.8889465332031,3,89,"utah"
"60","Bear River",14.413497967074,"cache",-111.503318786621,41.8774833679199,3,90,"utah"
"61","Bear River",14.413497967074,"cache",-111.5205078125,41.8602981567383,3,91,"utah"
"62","Bear River",14.413497967074,"cache",-111.509048461914,41.8316459655762,3,92,"utah"
"63","Bear River",14.413497967074,"cache",-111.474670410156,41.8144607543945,3,93,"utah"
"64","Bear River",14.413497967074,"cache",-111.428833007812,41.6998672485352,3,94,"utah"
"65","Bear River",14.413497967074,"cache",-111.428833007812,41.6654891967773,3,95,"utah"
"66","Bear River",14.413497967074,"cache",-111.411643981934,41.6540298461914,3,96,"utah"
"67","Bear River",14.413497967074,"cache",-111.446014404297,41.6081924438477,3,97,"utah"
"68","Bear River",14.413497967074,"cache",-111.434562683105,41.5738182067871,3,98,"utah"
"69","Bear River",14.413497967074,"cache",-111.451751708984,41.5451698303223,3,99,"utah"
"70","Bear River",14.413497967074,"cache",-111.474670410156,41.5222511291504,3,100,"utah"
"71","Bear River",14.413497967074,"cache",-111.497589111328,41.4592247009277,3,101,"utah"
"72","Bear River",14.413497967074,"cache",-111.5205078125,41.4420356750488,3,102,"utah"
"73","Bear River",14.413497967074,"cache",-111.526229858398,41.419116973877,3,103,"utah"
"74","Bear River",14.413497967074,"cache",-111.554885864258,41.419116973877,3,104,"utah"
"75","Bear River",14.413497967074,"cache",-111.577796936035,41.419116973877,3,105,"utah"
"76","Bear River",14.413497967074,"cache",-111.726776123047,41.419116973877,3,106,"utah"
"77","Bear River",14.413497967074,"cache",-111.749687194824,41.3732833862305,3,107,"utah"
"78","Bear River",14.413497967074,"cache",-111.778335571289,41.3732833862305,3,108,"utah"
"79","Bear River",14.413497967074,"cache",-111.795524597168,41.401927947998,3,109,"utah"
"80","Bear River",14.413497967074,"cache",-111.841361999512,41.401927947998,3,110,"utah"
"81","Bear River",14.413497967074,"cache",-111.881469726562,41.4133911132812,3,111,"utah"
"82","Bear River",14.413497967074,"rich",-111.491851806641,41.9978065490723,17,769,"utah"
"83","Bear River",14.413497967074,"rich",-111.050682067871,41.9978065490723,17,770,"utah"
"84","Bear River",14.413497967074,"rich",-111.056411743164,41.5795478820801,17,771,"utah"
"85","Bear River",14.413497967074,"rich",-111.056411743164,41.2300453186035,17,772,"utah"
"86","Bear River",14.413497967074,"rich",-111.096519470215,41.2357711791992,17,773,"utah"
"87","Bear River",14.413497967074,"rich",-111.113700866699,41.2128524780273,17,774,"utah"
"88","Bear River",14.413497967074,"rich",-111.170997619629,41.1842079162598,17,775,"utah"
"89","Bear River",14.413497967074,"rich",-111.216835021973,41.1612892150879,17,776,"utah"
"90","Bear River",14.413497967074,"rich",-111.245483398438,41.1670188903809,17,777,"utah"
"91","Bear River",14.413497967074,"rich",-111.234031677246,41.2013931274414,17,778,"utah"
"92","Bear River",14.413497967074,"rich",-111.256942749023,41.2185821533203,17,779,"utah"
"93","Bear River",14.413497967074,"rich",-111.274139404297,41.2357711791992,17,780,"utah"
"94","Bear River",14.413497967074,"rich",-111.279861450195,41.2873382568359,17,781,"utah"
"95","Bear River",14.413497967074,"rich",-111.297050476074,41.3159866333008,17,782,"utah"
"96","Bear River",14.413497967074,"rich",-111.314239501953,41.3274459838867,17,783,"utah"
"97","Bear River",14.413497967074,"rich",-111.319969177246,41.3389053344727,17,784,"utah"
"98","Bear River",14.413497967074,"rich",-111.36580657959,41.3618240356445,17,785,"utah"
"99","Bear River",14.413497967074,"rich",-111.417373657227,41.3732833862305,17,786,"utah"
"100","Bear River",14.413497967074,"rich",-111.446014404297,41.3560943603516,17,787,"utah"
"101","Bear River",14.413497967074,"rich",-111.457481384277,41.3732833862305,17,788,"utah"
"102","Bear River",14.413497967074,"rich",-111.486122131348,41.3962020874023,17,789,"utah"
"103","Bear River",14.413497967074,"rich",-111.491851806641,41.419116973877,17,790,"utah"
"104","Bear River",14.413497967074,"rich",-111.526229858398,41.419116973877,17,791,"utah"
"105","Bear River",14.413497967074,"rich",-111.5205078125,41.4420356750488,17,792,"utah"
"106","Bear River",14.413497967074,"rich",-111.497589111328,41.4592247009277,17,793,"utah"
"107","Bear River",14.413497967074,"rich",-111.474670410156,41.5222511291504,17,794,"utah"
"108","Bear River",14.413497967074,"rich",-111.451751708984,41.5451698303223,17,795,"utah"
"109","Bear River",14.413497967074,"rich",-111.434562683105,41.5738182067871,17,796,"utah"
"110","Bear River",14.413497967074,"rich",-111.446014404297,41.6081924438477,17,797,"utah"
"111","Bear River",14.413497967074,"rich",-111.411643981934,41.6540298461914,17,798,"utah"
"112","Bear River",14.413497967074,"rich",-111.428833007812,41.6654891967773,17,799,"utah"
"113","Bear River",14.413497967074,"rich",-111.428833007812,41.6998672485352,17,800,"utah"
"114","Bear River",14.413497967074,"rich",-111.474670410156,41.8144607543945,17,801,"utah"
"115","Bear River",14.413497967074,"rich",-111.509048461914,41.8316459655762,17,802,"utah"
"116","Bear River",14.413497967074,"rich",-111.5205078125,41.8602981567383,17,803,"utah"
"117","Bear River",14.413497967074,"rich",-111.503318786621,41.8774833679199,17,804,"utah"
"118","Bear River",14.413497967074,"rich",-111.5205078125,41.8889465332031,17,805,"utah"
"119","Bear River",14.413497967074,"rich",-111.5205078125,41.906135559082,17,806,"utah"
"120","Bear River",14.413497967074,"rich",-111.503318786621,41.911865234375,17,807,"utah"
"121","Bear River",14.413497967074,"rich",-111.486122131348,41.9233207702637,17,808,"utah"
"122","Bear River",14.413497967074,"rich",-111.480400085449,41.9519729614258,17,809,"utah"
"123","Bear River",14.413497967074,"rich",-111.491851806641,41.9978065490723,17,810,"utah"
"124","Central Utah",15.5870820318156,"juab",-111.652282714844,39.8148345947266,12,531,"utah"
"125","Central Utah",15.5870820318156,"juab",-111.652282714844,39.7976493835449,12,532,"utah"
"126","Central Utah",15.5870820318156,"juab",-111.629364013672,39.7976493835449,12,533,"utah"
"127","Central Utah",15.5870820318156,"juab",-111.629364013672,39.780460357666,12,534,"utah"
"128","Central Utah",15.5870820318156,"juab",-111.594993591309,39.774730682373,12,535,"utah"
"129","Central Utah",15.5870820318156,"juab",-111.594993591309,39.7403526306152,12,536,"utah"
"130","Central Utah",15.5870820318156,"juab",-111.646560668945,39.7403526306152,12,537,"utah"
"131","Central Utah",15.5870820318156,"juab",-111.721038818359,39.6887893676758,12,538,"utah"
"132","Central Utah",15.5870820318156,"juab",-111.726776123047,39.46533203125,12,539,"utah"
"133","Central Utah",15.5870820318156,"juab",-111.755416870117,39.4596061706543,12,540,"utah"
"134","Central Utah",15.5870820318156,"juab",-111.755416870117,39.3908500671387,12,541,"utah"
"135","Central Utah",15.5870820318156,"juab",-111.91584777832,39.3908500671387,12,542,"utah"
"136","Central Utah",15.5870820318156,"juab",-111.921577453613,39.3736610412598,12,543,"utah"
"137","Central Utah",15.5870820318156,"juab",-111.967414855957,39.3736610412598,12,544,"utah"
"138","Central Utah",15.5870820318156,"juab",-111.961685180664,39.3450126647949,12,545,"utah"
"139","Central Utah",15.5870820318156,"juab",-112.018981933594,39.3450126647949,12,546,"utah"
"140","Central Utah",15.5870820318156,"juab",-112.024703979492,39.327823638916,12,547,"utah"
"141","Central Utah",15.5870820318156,"juab",-112.070541381836,39.327823638916,12,548,"utah"
"142","Central Utah",15.5870820318156,"juab",-112.076271057129,39.339282989502,12,549,"utah"
"143","Central Utah",15.5870820318156,"juab",-112.185134887695,39.3450126647949,12,550,"utah"
"144","Central Utah",15.5870820318156,"juab",-112.21378326416,39.3908500671387,12,551,"utah"
"145","Central Utah",15.5870820318156,"juab",-112.196594238281,39.4137687683105,12,552,"utah"
"146","Central Utah",15.5870820318156,"juab",-112.208053588867,39.4538726806641,12,553,"utah"
"147","Central Utah",15.5870820318156,"juab",-112.196594238281,39.4825248718262,12,554,"utah"
"148","Central Utah",15.5870820318156,"juab",-112.202323913574,39.5226287841797,12,555,"utah"
"149","Central Utah",15.5870820318156,"juab",-112.190864562988,39.5512771606445,12,556,"utah"
"150","Central Utah",15.5870820318156,"juab",-112.202323913574,39.5741958618164,12,557,"utah"
"151","Central Utah",15.5870820318156,"juab",-112.236701965332,39.5570068359375,12,558,"utah"
"152","Central Utah",15.5870820318156,"juab",-112.253890991211,39.5627365112305,12,559,"utah"
"153","Central Utah",15.5870820318156,"juab",-112.276809692383,39.5455436706543,12,560,"utah"
"154","Central Utah",15.5870820318156,"juab",-112.42578125,39.5398178100586,12,561,"utah"
"155","Central Utah",15.5870820318156,"juab",-112.72371673584,39.5398178100586,12,562,"utah"
"156","Central Utah",15.5870820318156,"juab",-113.11905670166,39.5398178100586,12,563,"utah"
"157","Central Utah",15.5870820318156,"juab",-113.502937316895,39.5455436706543,12,564,"utah"
"158","Central Utah",15.5870820318156,"juab",-113.829528808594,39.5398178100586,12,565,"utah"
"159","Central Utah",15.5870820318156,"juab",-114.041519165039,39.5398178100586,12,566,"utah"
"160","Central Utah",15.5870820318156,"juab",-114.035797119141,39.9007797241211,12,567,"utah"
"161","Central Utah",15.5870820318156,"juab",-113.823799133301,39.9007797241211,12,568,"utah"
"162","Central Utah",15.5870820318156,"juab",-113.353973388672,39.9007797241211,12,569,"utah"
"163","Central Utah",15.5870820318156,"juab",-112.844032287598,39.9065093994141,12,570,"utah"
"164","Central Utah",15.5870820318156,"juab",-112.351287841797,39.9065093994141,12,571,"utah"
"165","Central Utah",15.5870820318156,"juab",-112.32837677002,39.9294281005859,12,572,"utah"
"166","Central Utah",15.5870820318156,"juab",-112.293998718262,39.9580764770508,12,573,"utah"
"167","Central Utah",15.5870820318156,"juab",-112.248161315918,39.9809951782227,12,574,"utah"
"168","Central Utah",15.5870820318156,"juab",-112.202323913574,40.0153732299805,12,575,"utah"
"169","Central Utah",15.5870820318156,"juab",-112.173675537109,40.0210990905762,12,576,"utah"
"170","Central Utah",15.5870820318156,"juab",-112.145027160645,39.9809951782227,12,577,"utah"
"171","Central Utah",15.5870820318156,"juab",-112.093467712402,39.9523468017578,12,578,"utah"
"172","Central Utah",15.5870820318156,"juab",-112.093467712402,39.9294281005859,12,579,"utah"
"173","Central Utah",15.5870820318156,"juab",-112.064811706543,39.9122428894043,12,580,"utah"
"174","Central Utah",15.5870820318156,"juab",-112.047630310059,39.8835906982422,12,581,"utah"
"175","Central Utah",15.5870820318156,"juab",-112.076271057129,39.8434867858887,12,582,"utah"
"176","Central Utah",15.5870820318156,"juab",-112.064811706543,39.8148345947266,12,583,"utah"
"177","Central Utah",15.5870820318156,"juab",-112.082000732422,39.7976493835449,12,584,"utah"
