"Date","jurisdiction","Daily Case Rate / 100,000","Seven-day Average Case Rate"
2020-03-06,"Bear River",0,NA
2020-03-06,"Central Utah",0,NA
2020-03-06,"Davis County",0.3,NA
2020-03-06,"Salt Lake County",0,NA
2020-03-06,"San Juan",0,NA
2020-03-06,"Southeast Utah",0,NA
2020-03-06,"Southwest Utah",0,NA
2020-03-06,"Summit County",0,NA
2020-03-06,"Tooele County",0,NA
2020-03-06,"TriCounty",0,NA
2020-03-06,"Utah County",0,NA
2020-03-06,"Wasatch County",0,NA
2020-03-06,"Weber-Morgan",0,NA
2020-03-09,"Bear River",0,NA
2020-03-09,"Central Utah",0,NA
2020-03-09,"Davis County",0,NA
2020-03-09,"Salt Lake County",0,NA
2020-03-09,"San Juan",0,NA
2020-03-09,"Southeast Utah",0,NA
2020-03-09,"Southwest Utah",0,NA
2020-03-09,"Summit County",0,NA
2020-03-09,"Tooele County",0,NA
2020-03-09,"TriCounty",0,NA
2020-03-09,"Utah County",0,NA
2020-03-09,"Wasatch County",0,NA
2020-03-09,"Weber-Morgan",0.4,NA
2020-03-11,"Bear River",0,NA
2020-03-11,"Central Utah",0,NA
2020-03-11,"Davis County",0,NA
2020-03-11,"Salt Lake County",0,NA
2020-03-11,"San Juan",0,NA
2020-03-11,"Southeast Utah",0,NA
2020-03-11,"Southwest Utah",0,NA
2020-03-11,"Summit County",2.4,NA
2020-03-11,"Tooele County",0,NA
2020-03-11,"TriCounty",0,NA
2020-03-11,"Utah County",0,NA
2020-03-11,"Wasatch County",0,NA
2020-03-11,"Weber-Morgan",0,NA
2020-03-12,"Bear River",0,NA
2020-03-12,"Central Utah",0,NA
2020-03-12,"Davis County",0,NA
2020-03-12,"Salt Lake County",0,NA
2020-03-12,"San Juan",0,NA
2020-03-12,"Southeast Utah",0,NA
2020-03-12,"Southwest Utah",0.4,NA
2020-03-12,"Summit County",0,NA
2020-03-12,"Tooele County",0,NA
2020-03-12,"TriCounty",0,NA
2020-03-12,"Utah County",0,NA
2020-03-12,"Wasatch County",0,NA
2020-03-12,"Weber-Morgan",0,NA
2020-03-13,"Bear River",0,NA
2020-03-13,"Central Utah",0,NA
2020-03-13,"Davis County",0.3,NA
2020-03-13,"Salt Lake County",0.2,NA
2020-03-13,"San Juan",0,NA
2020-03-13,"Southeast Utah",0,NA
2020-03-13,"Southwest Utah",0,NA
2020-03-13,"Summit County",4.7,NA
2020-03-13,"Tooele County",0,NA
2020-03-13,"TriCounty",0,NA
2020-03-13,"Utah County",0,NA
2020-03-13,"Wasatch County",0,NA
2020-03-13,"Weber-Morgan",0,NA
2020-03-14,"Bear River",0,NA
2020-03-14,"Central Utah",0,NA
2020-03-14,"Davis County",0.3,NA
2020-03-14,"Salt Lake County",0.3,NA
2020-03-14,"San Juan",0,NA
2020-03-14,"Southeast Utah",0,NA
2020-03-14,"Southwest Utah",0,NA
2020-03-14,"Summit County",0,NA
2020-03-14,"Tooele County",0,NA
2020-03-14,"TriCounty",0,NA
2020-03-14,"Utah County",0,NA
2020-03-14,"Wasatch County",0,NA
2020-03-14,"Weber-Morgan",0,NA
2020-03-15,"Bear River",0,NA
2020-03-15,"Central Utah",0,NA
2020-03-15,"Davis County",0,NA
2020-03-15,"Salt Lake County",0.8,NA
2020-03-15,"San Juan",0,NA
2020-03-15,"Southeast Utah",0,NA
2020-03-15,"Southwest Utah",0,NA
2020-03-15,"Summit County",2.4,NA
2020-03-15,"Tooele County",0,NA
2020-03-15,"TriCounty",0,NA
2020-03-15,"Utah County",0,NA
2020-03-15,"Wasatch County",2.9,NA
2020-03-15,"Weber-Morgan",0.4,NA
2020-03-16,"Bear River",0,0
2020-03-16,"Central Utah",0,0
2020-03-16,"Davis County",0.3,0.1
2020-03-16,"Salt Lake County",0.4,0.2
2020-03-16,"San Juan",0,0
2020-03-16,"Southeast Utah",0,0
2020-03-16,"Southwest Utah",0,0.1
2020-03-16,"Summit County",7.1,2.4
2020-03-16,"Tooele County",1.4,0.2
2020-03-16,"TriCounty",0,0
2020-03-16,"Utah County",0,0
2020-03-16,"Wasatch County",0,0.4
2020-03-16,"Weber-Morgan",0.7,0.2
2020-03-17,"Bear River",0.5,0.1
2020-03-17,"Central Utah",0,0
2020-03-17,"Davis County",0.6,0.2
2020-03-17,"Salt Lake County",0.3,0.3
2020-03-17,"San Juan",0,0
2020-03-17,"Southeast Utah",0,0
2020-03-17,"Southwest Utah",0,0.1
2020-03-17,"Summit County",16.6,4.7
2020-03-17,"Tooele County",0,0.2
2020-03-17,"TriCounty",0,0
2020-03-17,"Utah County",0.2,0
2020-03-17,"Wasatch County",0,0.4
2020-03-17,"Weber-Morgan",0,0.2
2020-03-18,"Bear River",0,0.1
2020-03-18,"Central Utah",0,0
2020-03-18,"Davis County",0,0.2
2020-03-18,"Salt Lake County",0.3,0.3
2020-03-18,"San Juan",0,0
2020-03-18,"Southeast Utah",0,0
2020-03-18,"Southwest Utah",0,0.1
2020-03-18,"Summit County",7.1,5.4
2020-03-18,"Tooele County",0,0.2
2020-03-18,"TriCounty",0,0
2020-03-18,"Utah County",0.2,0
2020-03-18,"Wasatch County",2.9,0.8
2020-03-18,"Weber-Morgan",0,0.2
2020-03-19,"Bear River",1.1,0.2
2020-03-19,"Central Utah",0,0
2020-03-19,"Davis County",1.7,0.4
2020-03-19,"Salt Lake County",1.1,0.5
2020-03-19,"San Juan",0,0
2020-03-19,"Southeast Utah",0,0
2020-03-19,"Southwest Utah",0,0
2020-03-19,"Summit County",19,8.1
2020-03-19,"Tooele County",1.4,0.4
2020-03-19,"TriCounty",0,0
2020-03-19,"Utah County",0,0
2020-03-19,"Wasatch County",5.9,1.7
2020-03-19,"Weber-Morgan",0.7,0.3
2020-03-20,"Bear River",0,0.2
2020-03-20,"Central Utah",0,0
2020-03-20,"Davis County",0.6,0.5
2020-03-20,"Salt Lake County",1.4,0.7
2020-03-20,"San Juan",0,0
2020-03-20,"Southeast Utah",0,0
2020-03-20,"Southwest Utah",0,0
2020-03-20,"Summit County",9.5,8.8
2020-03-20,"Tooele County",0,0.4
2020-03-20,"TriCounty",0,0
2020-03-20,"Utah County",0.2,0.1
2020-03-20,"Wasatch County",8.8,2.9
2020-03-20,"Weber-Morgan",0,0.3
2020-03-21,"Bear River",0,0.2
2020-03-21,"Central Utah",0,0
2020-03-21,"Davis County",0.8,0.6
2020-03-21,"Salt Lake County",1.3,0.8
2020-03-21,"San Juan",0,0
2020-03-21,"Southeast Utah",0,0
2020-03-21,"Southwest Utah",0,0
2020-03-21,"Summit County",4.7,9.5
2020-03-21,"Tooele County",0,0.4
2020-03-21,"TriCounty",0,0
2020-03-21,"Utah County",0.3,0.1
2020-03-21,"Wasatch County",0,2.9
2020-03-21,"Weber-Morgan",0,0.3
2020-03-22,"Bear River",0,0.2
2020-03-22,"Central Utah",0,0
2020-03-22,"Davis County",2.5,0.9
2020-03-22,"Salt Lake County",2.6,1.1
2020-03-22,"San Juan",0,0
2020-03-22,"Southeast Utah",0,0
2020-03-22,"Southwest Utah",0.8,0.1
2020-03-22,"Summit County",71.2,19.3
2020-03-22,"Tooele County",0,0.4
2020-03-22,"TriCounty",0,0
2020-03-22,"Utah County",0.8,0.2
2020-03-22,"Wasatch County",11.7,4.2
2020-03-22,"Weber-Morgan",0.7,0.3
2020-03-23,"Bear River",0.5,0.3
2020-03-23,"Central Utah",0,0
2020-03-23,"Davis County",0,0.9
2020-03-23,"Salt Lake County",0.8,1.1
2020-03-23,"San Juan",0,0
2020-03-23,"Southeast Utah",0,0
2020-03-23,"Southwest Utah",0.8,0.2
2020-03-23,"Summit County",30.8,22.7
2020-03-23,"Tooele County",0,0.2
2020-03-23,"TriCounty",0,0
2020-03-23,"Utah County",0.2,0.2
2020-03-23,"Wasatch County",11.7,5.9
2020-03-23,"Weber-Morgan",0.4,0.3
2020-03-24,"Bear River",1.1,0.4
2020-03-24,"Central Utah",0,0
2020-03-24,"Davis County",2.5,1.2
2020-03-24,"Salt Lake County",3.3,1.5
2020-03-24,"San Juan",0,0
2020-03-24,"Southeast Utah",0,0
2020-03-24,"Southwest Utah",0,0.2
2020-03-24,"Summit County",21.4,23.4
2020-03-24,"Tooele County",1.4,0.4
2020-03-24,"TriCounty",0,0
2020-03-24,"Utah County",1.1,0.4
2020-03-24,"Wasatch County",2.9,6.3
2020-03-24,"Weber-Morgan",0.4,0.3
2020-03-25,"Bear River",0,0.4
2020-03-25,"Central Utah",0,0
2020-03-25,"Davis County",0.6,1.2
2020-03-25,"Salt Lake County",1.6,1.7
2020-03-25,"San Juan",0,0
2020-03-25,"Southeast Utah",0,0
2020-03-25,"Southwest Utah",0.8,0.3
2020-03-25,"Summit County",21.4,25.4
2020-03-25,"Tooele County",1.4,0.6
2020-03-25,"TriCounty",0,0
2020-03-25,"Utah County",0.2,0.4
2020-03-25,"Wasatch County",14.7,8
2020-03-25,"Weber-Morgan",0.7,0.4
2020-03-26,"Bear River",0.5,0.3
2020-03-26,"Central Utah",0,0
2020-03-26,"Davis County",3.4,1.5
2020-03-26,"Salt Lake County",4,2.1
2020-03-26,"San Juan",0,0
2020-03-26,"Southeast Utah",0,0
2020-03-26,"Southwest Utah",0.4,0.4
2020-03-26,"Summit County",11.9,24.4
2020-03-26,"Tooele County",1.4,0.6
2020-03-26,"TriCounty",1.8,0.3
2020-03-26,"Utah County",0.6,0.5
2020-03-26,"Wasatch County",23.5,10.5
2020-03-26,"Weber-Morgan",2.6,0.7
2020-03-27,"Bear River",0.5,0.4
2020-03-27,"Central Utah",0,0
2020-03-27,"Davis County",2.5,1.8
2020-03-27,"Salt Lake County",4.7,2.6
2020-03-27,"San Juan",13.1,1.9
2020-03-27,"Southeast Utah",2.5,0.4
2020-03-27,"Southwest Utah",1.6,0.6
2020-03-27,"Summit County",59.3,31.5
